ENTIDAD,CVE_ENTIDAD,POBLACIONES,SUPERFICIES
AGUASCALIENTES,1,1312544,5616
BAJA CALIFORNIA,2,3315766,71450
BAJA CALIFORNIA SUR,3,712029,73909
CAMPECHE,4,899931,57507
COAHUILA DE ZARAGOZA,5,2954915,151562
COLIMA,6,711235,5627
CHIAPAS,7,5217908,73311
CHIHUAHUA,8,3556574,247455
CIUDAD DE MÉXICO,9,8918653,1495
DURANGO,10,1754754,123317
GUANAJUATO,11,5853677,30608
GUERRERO,12,3533251,63596
HIDALGO,13,2858359,20813
JALISCO,14,7844830,78588
MÉXICO,15,16187608,22351
MICHOACÁN DE OCAMPO,16,4584471,58599
MORELOS,17,1903811,4879
NAYARIT,18,1181050,27857
NUEVO LEÓN,19,5119504,64156
OAXACA,20,3967889,93757
PUEBLA,21,6168883,34306
QUERÉTARO,22,2038372,11699
QUINTANA ROO,23,1501562,44705
SAN LUIS POTOSÍ,24,2717820,61137
SINALOA,25,2966321,58200
SONORA,26,2850330,179355
TABASCO,27,2395272,24731
TAMAULIPAS,28,3441698,80249
TLAXCALA,29,1272847,4016
VERACRUZ DE IGNACIO DE LA LLAVE,30,8112505,71826
YUCATÁN,31,2097175,39524
ZACATECAS,32,1579209,75284
